"Name";"DisplayName";"Description";"Enabled";"Direction";"Action";"Profile";"PolicyStore";"EdgeTraversalPolicy";"Platform";"Program";"Service";"InterfaceType";"InterfaceAlias";"ApplicationName";"ServiceName";"Group";"Owner";"DisplayGroup";"EnabledToString";"RuleState";"LocalAddresses";"RemoteAddresses";"LocalPorts";"RemotePorts";"Protocol";"Application";"IPsec";"Filters"
"NETDIS-UPnPHost-Out-TCP";"Découverte de réseau (UPnP-Sortie)";"Règle de trafic sortant pour la découverte du réseau qui autorise l’utilisation de périphériques Plug-and-Play universels [TCP]";"True";"Outbound";"Allow";"Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"LocalSubnet";"Any";"2869";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"WFDPRINT-SPOOL-Out-Active";"Utilisation de spouleur Wi-Fi Direct (Sortie)";"Règle de trafic sortant relative à l’utilisation d’imprimantes WSD sur des réseaux Wi-Fi Direct.";"True";"Outbound";"Allow";"Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-36851";;"Découverte de réseau Wi-Fi Direct";"True";"Active";"Any";"Any";"Any";"Any";"Any";"%SystemRoot%\system32\spoolsv.exe";"";""
"RemoteAssistance-Out-TCP";"Assistance à distance (TCP-Sortie)";"Règle de trafic sortant pour le trafic d’Assistance à distance. [TCP]";"True";"Outbound";"Allow";"Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-33002";;"Assistance à distance";"True";"Active";"Any";"Any";"Any";"Any";"TCP";"%SystemRoot%\system32\msra.exe";"";""
"NETDIS-SSDPSrv-Out-UDP-Active";"Découverte de réseau (SSDP-Sortie)";"Règle de trafic sortant pour la découverte de réseau pour autoriser l’utilisation du protocole SSDP (Simple Service Discovery Protocol). [UDP 1900]";"True";"Outbound";"Allow";"Private";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"LocalSubnet";"Any";"1900";"UDP";"%SystemRoot%\system32\svchost.exe";"";""
"NETDIS-WSDEVNT-Out-TCP-Active";"Découverte du réseau (Événements WSD-Trafic sortant)";"Règle de trafic sortant pour la découverte du réseau qui autorise les événements WSDAPI via la découverte de fonction [TCP 5357]";"True";"Outbound";"Allow";"Private";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"LocalSubnet";"Any";"5357";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"RemoteEventLogSvc-NP-In-TCP-NoScope";"Gestion à distance des journaux des événements (NP-Entrée)";"Règle de trafic entrant pour que le service d’enregistrement d’événements local soit géré à distance par le biais de canaux nommés.";"False";"Inbound";"Allow";"Domain";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-29252";;"Gestion à distance des journaux des événements";"True";"Active";"Any";"Any";"445";"Any";"TCP";"System";"";""
"RemoteTask-In-TCP-NoScope";"Gestion à distance des tâches planifiées (RPC)";"Règle de trafic entrant pour que le service Planificateur de tâches soit géré à distance via RPC/TCP.";"True";"Inbound";"Allow";"Domain";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-33252";;"Gestion à distance des tâches planifiées";"True";"Active";"Any";"Any";"RPC";"Any";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"WFDPRINT-SPOOL-In-Active";"Utilisation de spouleur Wi-Fi Direct (Entrée)";"Règle de trafic entrant relative à l’utilisation d’imprimantes WSD sur des réseaux Wi-Fi Direct.";"True";"Inbound";"Allow";"Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-36851";;"Découverte de réseau Wi-Fi Direct";"True";"Active";"Any";"Any";"Any";"Any";"Any";"%SystemRoot%\system32\spoolsv.exe";"";""
"RemoteAssistance-Out-TCP-Active";"Assistance à distance (TCP-Sortie)";"Règle de trafic sortant pour le trafic d’Assistance à distance. [TCP]";"True";"Outbound";"Allow";"Domain, Private";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-33002";;"Assistance à distance";"True";"Active";"Any";"Any";"Any";"Any";"TCP";"%SystemRoot%\system32\msra.exe";"";""
"MSDTC-Out-TCP";"Coordinateur de transactions distribuées (TCP-Sortie)";"Règle de trafic sortant pour autoriser le trafic pour le Coordinateur de transactions distribuées. [TCP]";"False";"Outbound";"Allow";"Private, Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-33502";;"Coordinateur de transactions distribuées";"True";"Active";"Any";"LocalSubnet";"Any";"Any";"TCP";"%SystemRoot%\system32\msdtc.exe";"";""
"RRAS-L2TP-Out-UDP";"Routage et accès distant (L2TP-Sortie)";"Règle de trafic sortant pour RRAS pour autoriser le trafic L2TP (Layer 2 Tunnel Protocol). [UDP 1701]";"False";"Outbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-33752";;"Routage et accès distant";"True";"Active";"Any";"Any";"Any";"1701";"UDP";"System";"";""
"CoreNet-ICMP6-PTB-Out";"Réseau de base - Paquet trop important (ICMPv6 sortant)";"Les messages d’erreur Paquet trop volumineux sont envoyés à partir d’un nœud traversé par un paquet et incapable de transférer le paquet car ce dernier est trop volumineux pour le lien suivant.";"True";"Outbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-25000";;"Réseau de base";"True";"Active";"Any";"Any";"RPC";"Any";"ICMPv6";"System";"";""
"CDPSvc-Out-UDP";"Plateforme d’appareils connectés (UDP-sortant)";"Règle de trafic sortant pour le trafic de la plateforme d’appareils connectés [UDP]";"True";"Outbound";"Allow";"Domain, Private";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-37402";;"Plateforme d’appareils connectés";"True";"Active";"Any";"Any";"Any";"Any";"UDP";"%SystemRoot%\system32\svchost.exe";"";""
